2023-05-13 09:24:14 , udn , 外來種綠鬣蜥嘉義縣組移除大隊發賞金 隔壁嘉市飼主當寵物 , https://udn.com/news/story/7326/7162371?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:24:25 , udn , 外來種綠鬣蜥在嘉義縣八掌溪沿岸快速繁殖，縣府招募民眾成立移除大隊，移除有賞金，隔壁嘉義市府雖也執行移除，但不組移除隊、不... , https://udn.com/news/story/7326/7162371?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:24:45 , udn , 成大「碑傳台灣400年」展  31件珍貴拓本回顧台灣歷史 , https://udn.com/news/story/7326/7162368?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:24:56 , udn , 成功大學歷史系與國史館台灣文獻館、台南市立博物館首度攜手合作，推出「碑傳台灣400年珍藏拓本聯展」，展出31件歷經不同時... , https://udn.com/news/story/7326/7162368?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:25:17 , udn , 說台語嘛也通 成大團隊開發「台華語點歌APP」免費下載 , https://udn.com/news/story/6928/7162369?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:25:27 , udn , 國立成功大學資訊工程系教授盧文祥、工業設計系教授張婉鈴率研究團隊，開發「台華點歌」APP。台語是許多長輩的主要語言，此A... , https://udn.com/news/story/6928/7162369?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:25:48 , udn , 士林官邸首展各國60種繡球花 竹子湖花季20日登場齊放 , https://udn.com/news/story/7323/7162367?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:25:58 , udn , 繡球花盛開於初夏梅雨季，其花色豐富多變，素有「花中千面女郎」之稱。台北士林官邸今年首度舉辦繡球花展，蒐羅各國品種多達60... , https://udn.com/news/story/7323/7162367?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:27:13 , udn , 七股光電夢／廢光電板不落地就無法回收？爭議案場恐釀汙染災難 , https://udn.com/news/story/7238/7161304?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:27:24 , udn , 雜草四生，猖狂的藤蔓攀住陳舊的建物，遮擋它原來的面貌，枝葉之茂盛快與它們合而為一，宛若人類滅絕後的末世廢墟。那是一個路人得走近看才指認得出來的光電遺跡。

「那個起（蓋）好久了，沒有通過啊！算起來還不到十年。」隔壁的務農人家如是形容。

2013年，在馬政府大力推動農電共生的政策下，農委會通過修改「申請農業用地作農業設施容許使用審查辦法」，為農電共生打開大門，但數年間快速發展農地種電走向失控，演變成「種電不種農」的亂象，政府2017年修法才平息爭議。截至2017年5月止，全國廢止農電共生案場超過百場，當時台南市就占了最多數，台南的風景地貌和生態也因光電受到大幅改變及影響。 , https://udn.com/news/story/7238/7161304?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:27:45 , udn , 照片看歷史／「和台灣是反共戰友」 1960年西班牙參謀長率團來台訪問 , https://udn.com/news/story/7314/7161046?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:27:55 , udn , 1960年5月13日，西班牙軍事訪華團一行6人，由西國最高參謀部參謀長陸軍上將慕義師（Manus Grandes）率領，乘日航飛機經東京於下午2時25分飛抵台北，將在台灣訪問9天。慕義師在機場記者會上說，他這次來華訪問是奉西班牙元首佛朗哥（Francisco Franco）之命，來與中華民國討論兩國軍事合作。 , https://udn.com/news/story/7314/7161046?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:28:16 , udn , 閱讀數學／哪項基礎能力「目前」最不受到AI的影響 (上) , https://udn.com/news/story/6904/7159544?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:28:26 , udn , 前幾天有一則新聞「教育衝擊1／ChatGPT成文科生末日？專家點名這個科系才最危險」，內文提及那些職業會被AI取代，首當其衝的就是「數學家」，資料來源是OpenAI... , https://udn.com/news/story/6904/7159544?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:28:47 , udn , 時光雜貨店／台灣人的共同記憶 消失的寄藥包文化 , https://udn.com/news/story/7272/7155221?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:28:57 , udn , 影視產業近年吹起懷舊風，許多經典知識產權（Intellectual Property，簡稱IP）紛紛翻拍或發展續作。暌違20年重返大螢幕的《灌籃高手》、改編自日本歌手宇多田光1998年同名神曲的Netflix影集《First Love 初戀》，都勾起不少六、七年級生的青春回憶。懷舊現象從何而來？老物件又訴說了哪些故事？三本選書，帶讀者走進台灣的「時光雜貨店」，從文物、桌遊和台菜，重拾美好舊時光。本文為《看得見的臺灣史．時間篇》部分章節書摘，經聯經出版授權刊登。 , https://udn.com/news/story/7272/7155221?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:29:18 , udn , 巴西單身母親 調查：10年增170萬人 , https://udn.com/news/story/6809/7162342?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:29:29 , udn , 巴西FGV基金會經濟研究所一項調查顯示，巴西有超過1100萬名母親獨自撫養孩子；在過去10年中，巴西增加170萬名母親在... , https://udn.com/news/story/6809/7162342?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:30:06 , udn , 台中男朝兄弟各轟1槍 投案稱想教訓仍被依殺人未遂起訴 , https://udn.com/news/story/7315/7162380?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:30:17 , udn , 台中黃姓男子不滿陳姓兄弟跟他借錢被拒，還砸爛他家冷氣、門窗，又將他痛毆成傷，約2人出面談判並攜帶手槍要報復，一見面就接連... , https://udn.com/news/story/7315/7162380?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:32:55 , udn , 想成為營業大客車駕駛嗎？這裡最高補助13.7萬元 , https://udn.com/news/story/7266/7162364?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:36:03 , udn , 烏軍大反攻！俄軍認「撤至巴赫穆特以北」 瓦格納首腦批「潰敗」 , https://udn.com/news/story/6809/7162387?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:36:13 , udn , 烏克蘭12日宣布，烏軍在烏東城市巴赫穆特（Bakhmut）取得突破。對此，俄軍承認已撤退至巴赫穆特市以北，俄羅斯傭兵集團... , https://udn.com/news/story/6809/7162387?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:48:15 , udn , 碳權交易所將落腳高雄 陳其邁：高雄具設立5大優勢 , https://udn.com/news/story/7241/7162401?from=udn-ch1_breaknews-1-0-news
2023-05-13 09:48:26 , udn , 碳權交易所原傳將設在台北城中大樓，行政院長陳建仁昨突然拋出將設在高雄，震驚各界。高雄市長陳其邁對此表示，高雄具有設立碳權... , https://udn.com/news/story/7241/7162401?from=udn-ch1_breaknews-1-0-news
