2023-03-21 09:07:50 , udn , 榮剛材料（5009）3月19日在台南市柳營科工區總部舉辦了盛大的三十周年慶活動，包括台南市市長黃偉哲、台鋼集團會長謝裕民... , https://udn.com/news/story/7241/7045136?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:08:40 , udn , 習近平訪俄！普亭：將談論解決烏克蘭危機的12點立場聲明 , https://udn.com/news/story/6809/7045155?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:08:50 , udn , 中國國家主席習近平訪問莫斯科吸引外界關注，俄羅斯總統普亭（Vladimir Putin）表示自己將在訪問期間與其討論中國... , https://udn.com/news/story/6809/7045155?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:14:48 , udn , 9旬婦開住戶大會尿遁迷途 中警靠「這物」助返家 , https://udn.com/news/story/7320/7045170?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:14:58 , udn , 台中市北屯區90歲陳姓婦人與女兒到社區大樓開會，陳婦稱要如廁，獨自前往後就未返回，心急如焚的家屬找了一天，準備至派出所報... , https://udn.com/news/story/7320/7045170?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:15:19 , udn , 高雄父子務農返家閃神貨車翻覆崖坡 幸運卡枯樹奇蹟生還 , https://udn.com/news/story/7320/7045165?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:15:29 , udn , 高雄六龜67歲莊姓老翁上周六駕駛小貨車與35歲兒子到新開山區務農，返程沿著新發產業道路行駛，怎料，車輛意外翻覆至邊坡，整... , https://udn.com/news/story/7320/7045165?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:15:50 , udn , 無視國際追究普亭罪責 美：習近平外交掩護俄國暴行 , https://udn.com/news/story/6809/7045169?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:16:00 , udn , 中俄領袖在俄烏戰爭後首次會晤4.5小時，美國國務卿布林肯（Antony Blinken）3月20日說，中國大陸國家主席習... , https://udn.com/news/story/6809/7045169?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:16:21 , udn , 【即時短評】市長敗選、立委棄選 蔡適應想先蹲後跳？ , https://udn.com/news/story/10930/7045168?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:16:31 , udn , 基隆市立委蔡適應參選基隆市長嘗敗績，對手緊咬學倫案、黑金爭議，選後仍難止血。母校通知博士學位不予撤銷，幕僚認為是再戰契機... , https://udn.com/news/story/10930/7045168?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:16:52 , udn , ICC下令逮普亭 陸外交部：依國際法國家元首享管轄豁免 , https://udn.com/news/story/7331/7045166?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:17:02 , udn , 針對國際刑事法院（ICC）17日對俄羅斯總統普亭發出逮捕令，大陸外交部發言人汪文斌表示，國際刑事法院應秉持客觀公正立場，... , https://udn.com/news/story/7331/7045166?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:17:22 , udn , 台南學生探究石斑礮台變講台 小學生戶外練膽量 , https://udn.com/news/story/7327/7045163?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:17:33 , udn , 台南大學附小與七股區篤加國小日前聯手戶外教育，探究烏魚及石斑魚，昨選擇高雄旗後砲台當作成果發表講台，學童直呼「太緊張了」... , https://udn.com/news/story/7327/7045163?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:17:49 , udn , 催生...蔣萬安拍板5新政：2胎加倍抽社宅、私幼最高補5.2萬 , https://udn.com/news/story/6656/7045171?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:17:59 , udn , 台北市長蔣萬安今上午將召開記者會宣布，北市成立「人口對策委員會」，並宣布五大催生、助養、好住政策，包括台北市育有兩胎零至... , https://udn.com/news/story/6656/7045171?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:20:48 , udn , 經典賽／64位MLB球探在看！佐佐木朗希挨三分砲 日本0：3落後 , https://udn.com/news/story/7001/7045182?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:20:58 , udn , 世界棒球經典賽今天要決定第二張冠軍賽門票，上演「墨日之戰」，日本隊「令和怪物」佐佐木朗希在4局上遭烏力亞斯（Luis U... , https://udn.com/news/story/7001/7045182?from=udn-ch1_breaknews-1-0-news
2023-03-21 09:21:19 , udn , 男涉案通緝8年擁槍毒 高雄警飛象過河在屏東逮人 , https://udn.com/news/story/7315/7045181?from=udn-ch1_breaknews-1-0-news
