2023-02-07 08:03:19 , udn , 照片看歷史／1978年明末四僧書畫特展 張大千致詞 , /news/story/7314/6952153?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:03:19 , udn , 1978年2月7日，國立歷史博物館舉辦「明末四僧書畫特展」揭幕，館長何浩天主持揭幕儀式，教育部長李元簇與張大千、王世杰、蔣復璁等應邀致詞，他們都指出，這是三百年來集漸江、石谿、八大、石濤四僧作品的首次公開展示，也是國內美術活動中前所未有的盛事。展期預定五十天。 , /news/story/7314/6952153?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:03:20 , udn , 真實人生／追逐長城的癡心人 陸90後攝影師用50萬張照片記錄絕美瞬間 , /news/story/6812/6951080?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:03:20 , udn , 中國歷史上的春秋戰國起，就有築長牆的史料記載，如今主要保存下來、初建於14世紀的明長城，橫跨了中國大陸15省分，是著名世界文化遺產，也是中國人精神象徵。近年中國出現一批追長城的人，透過鏡頭和足跡，記錄著長城之美，年輕的楊東就是其中一位。... , /news/story/6812/6951080?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:06:18 , udn , 【專家之眼】美國內政攻守忙，中國氣球好藉口 , /news/story/6656/6954597?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:06:18 , udn , 今年以來的美國黨政新聞，令人目不暇接。先是從拜登的德州住家，也發現有擔任副總統期間的機密檔案；緊接著聯邦預算審查的困局、... , /news/story/6656/6954597?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:06:18 , udn , 湯圓口味大亂鬥！竟意外爆出芝麻湯圓身世之謎？ , /news/story/7266/6949772?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:06:18 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「包餡湯圓」話題的網路聲量表現，帶您了解有關網友熱議的10大湯圓口味排行。 , /news/story/7266/6949772?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:06:18 , udn , 買0050損益起死回生…等4個月終於賺4萬！他：相信大盤 , /news/story/123006/6953616?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:06:18 , udn , 2022大環境景氣差，台股震盪大，不過對於存股族而言，不應因為一時的股價變動而進出場。有網友分享，手中持有的0050從去年10月報酬率-16％，過了四個月後的現在損益率已達8.32％、回賺4萬4510元。 , /news/story/123006/6953616?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:12:18 , udn , 神父遺愛飲水思源紀念碑修復 拼貼故事牆見證主愛 , /news/story/7326/6954598?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:12:18 , udn , 天主教聖言會百歲山東籍神父陳錫洵來台，在嘉義縣中埔鄉蓋教堂傳教，為改善中埔村民缺水之苦，1963年向西德援外慈善組織募款... , /news/story/7326/6954598?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:21:18 , udn , 【專家之眼】美國內政攻守忙 中國氣球好藉口 , /news/story/6656/6954597?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:24:18 , udn , 美國經濟可望軟著陸 世界經濟終將回歸以往 , /news/story/6811/6954610?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:24:18 , udn , 雖然美國經濟陷於高通膨、高利率以及高失業的「三高」現象，再加上市場普遍預測二○二三年經濟成長步伐放緩，但近期在通膨數據逐漸受到控制，以及數位基礎建設發展高度成長下，民眾工資由負轉正以及超額儲蓄支持，消費動能保持在一定程度，二○二三年的美國經濟有望軟著陸。 , /news/story/6811/6954610?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:24:18 , udn , 美元連三日勁升2.4％、日圓走貶 市場調整Fed升息路徑 , /news/story/6811/6954600?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:24:19 , udn , 在美國公債殖利率上升和美中局勢緊張之際，美元周一連三日勁升，漲幅高達2.4% 。而日圓在日本央行新任總裁上任之前繼續受壓... , /news/story/6811/6954600?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:24:20 , udn , AI大戰升溫！Google公布聊天機器人Bard 對決ChatGPT , /news/story/6811/6954590?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:24:20 , udn , Google周一（6日）宣布將推出名為「Bard」的人工智慧（AI）聊天機器人技術，目前將由一群選定的人員試用，並計劃數... , /news/story/6811/6954590?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:27:19 , udn , 星雲大師在台弘法首站嘉義天龍寺 與嘉義諸多因緣感恩以報 , /news/story/7314/6954614?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:27:19 , udn , 佛光山開山宗長星雲大師圓寂，星雲來台首站在嘉義天龍寺弘法，後來路陸續創辦南華大學、圓福寺、博愛社區大學，生前曾受已故被稱... , /news/story/7314/6954614?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:33:19 , udn , 2/7【早晨財經速解讀】崩!台積電跌3% ADR戴爾裁6600人 企業獲利衰退難避免? , /news/story/7251/6954616?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:33:19 , udn , 國關學者：氣球事件恐讓中美關係進入惡性循環 , /news/story/123298/6954595?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:33:19 , udn , 美國F-22戰機發射AIM-9X響尾蛇飛彈擊落中國高空偵察氣球。新加坡聯合早報引述多名學者指出，氣球事件的負面影響已不可... , /news/story/123298/6954595?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:39:18 , udn , 任何人推薦股票要逆勢賣出 金融專家籲「消除三個基本神話」、進場時間點決勝負 , /news/story/7251/6954624?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:39:18 , udn , 股票是生產性資本，是任何結構良好、多元化及以資產為導向的投資組合的重要支柱。股票是一個絕佳機會，只需點擊幾下滑鼠便可在自己舒適的客廳裡加入世界上最好的公司。特別是在德國，股市經常被譴責為賭場。 , /news/story/7251/6954624?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:39:18 , udn , 中國偵察氣球侵美領空 謝長廷：就是破壞現狀 , /news/story/123298/6954584?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:39:18 , udn , 中國高空偵察氣球侵入美國領空，駐日代表謝長廷今天對駐日台媒表示，飛船或氣球侵入他國國境就是破壞現狀，如果中國這樣的行徑可... , /news/story/123298/6954584?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:42:18 , udn , 美4大指數收低 法人：跳空缺口回補為多空指標 , /news/story/7251/6954617?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:42:18 , udn , 美國股市4大指數6日收低，台股6日下跌209.84點，收在15392.82點；分析師指出，台股跌破5日均線支撐，1月30... , /news/story/7251/6954617?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:51:19 , udn , 中國間諜氣球入侵非首次！傳川普時代也來過 3次現蹤美軍基地附近 , /news/story/6813/6954637?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:51:19 , udn , 美國總統拜登4日下令軍方派出戰機，在東岸領海擊落入侵領空的中國間諜氣球，美方正在打撈相關殘骸，以蒐集相關資訊和情報。彭博... , /news/story/6813/6954637?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:57:18 , udn , 懶人包／你預購了三星Galaxy S23嗎？不同平台贈品一次看、「有無預購」都有好康可拿！ , /news/story/7098/6954587?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:57:18 , udn , 三星（Samsung）Galaxy S23系列手機價格出爐，最便宜的6.1吋S23為2萬6900元，2月7日展開預購、2月24日上市。外界期待這次三星官方給了哪些預購禮，《聯合新聞網》分成「有預購」與「沒預購」的2大部分、3種購買方式製成「懶人包」，帶你大方向了解「好康」、一看就清楚。 , /news/story/7098/6954587?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:57:18 , udn , 東北季風增強 北部及東半部仍有短暫雨 , /news/story/7266/6954612?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:57:18 , udn , 中央氣象局表示，今天東北季風增強，迎風面的北部及東半部地區仍有局部短暫雨，白天主要的降雨偏向在東半部地區，晚上以後基隆北... , /news/story/7266/6954612?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:57:18 , udn , 土耳其強震釀超過3400死！世衛：死亡人數恐暴增「8倍之多」 , /news/story/6809/6954640?from=udn-ch1_breaknews-1-0-news
2023-02-07 08:57:18 , udn , 世界衛生組織（WHO）警告說，土耳其東南部靠近敘利亞邊境在7日發生強烈地震後，造成的死亡人數可能增加「8倍之多」。 , /news/story/6809/6954640?from=udn-ch1_breaknews-1-0-news
